film,Action,Adventure,Animation,Biography,Comedy,Crime,Drama,Family,Fantasy,Film-Noir,History,Horror,Music,Musical,Mystery,Romance,Sci-Fi,Sport,Thriller,War,Western,Released_Year,Runtime,IMDB_Rating,No_of_Votes,Gross,budget,revenue,popularity
The Help,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,2011.0,146,8.0,428521,169708112,25000000,124272124,42.191509
The Hobbit: An Unexpected Journey,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,2012.0,169,7.8,757377,303003568,250000000,1021103568,108.849621
The Hobbit: The Desolation of Smaug,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,2013.0,161,7.8,601408,258366855,250000000,958400000,94.370564
The Imitation Game,False,False,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,2014.0,114,8.0,685201,91125683,14000000,233555708,145.364591
The Incredibles,True,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,2004.0,115,8.0,657047,261441092,92000000,631442092,77.817571
The Iron Giant,True,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,1999.0,86,8.0,172083,23159305,70000000,23159305,61.245957
The King's Speech,False,False,False,True,False,False,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,2010.0,118,8.0,639603,138797449,15000000,414211549,54.053576
The Lego Movie,True,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,2014.0,100,7.7,323982,257760692,60000000,469160692,59.547928
The Lion King,False,True,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,1994.0,88,8.5,942045,422783777,45000000,788241776,90.457886
The Lord of the Rings: The Fellowship of the Ring,True,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,2001.0,178,8.8,1661481,315544750,93000000,871368364,138.049577
The Lord of the Rings: The Return of the King,True,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,2003.0,201,8.9,1642758,377845905,94000000,1118888979,123.630332
The Lord of the Rings: The Two Towers,True,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,2002.0,179,8.7,1485555,342551365,79000000,926287400,106.914973
The Martian,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False,2015.0,144,8.0,760094,228433663,108000000,630161890,167.93287
The Matrix,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,1999.0,136,8.7,1676426,171479930,63000000,463517383,104.309993
The Notebook,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,2004.0,123,7.8,520284,81001787,29000000,115603229,55.109138
The Perks of Being a Wallflower,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,2012.0,103,8.0,462252,17738570,13000000,33400000,43.444135
The Pianist,False,False,False,True,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,2002.0,150,8.5,729603,32572577,35000000,120072577,50.587541
