class,canonicalcategory,category,film,name,nominees,winner,detail,multifilmnomination
Production,MAKEUP AND HAIRSTYLING,MAKEUP,Legend,"Rob Bottin, Peter Robb-King","Rob Bottin, Peter Robb-King",False,nan,nan
Music,MUSIC (Original Score),MUSIC (Original Score),Aliens,James Horner,James Horner,False,nan,nan
Music,MUSIC (Original Score),MUSIC (Original Score),Hoosiers,Jerry Goldsmith,Jerry Goldsmith,False,nan,nan
Music,MUSIC (Original Score),MUSIC (Original Score),The Mission,Ennio Morricone,Ennio Morricone,False,nan,nan
Music,MUSIC (Original Score),MUSIC (Original Score),'Round Midnight,Herbie Hancock,Herbie Hancock,True,nan,nan
Music,MUSIC (Original Score),MUSIC (Original Score),Star Trek IV: The Voyage Home,Leonard Rosenman,Leonard Rosenman,False,nan,nan
Music,MUSIC (Original Song),MUSIC (Original Song),The Karate Kid Part II,Music by Peter Cetera and David Foster; Lyric by Peter Cetera and Diane Nini,"Peter Cetera, David Foster, Diane Nini",False,Glory Of Love,nan
Music,MUSIC (Original Song),MUSIC (Original Song),That's Life,Music by Henry Mancini; Lyric by Leslie Bricusse,"Henry Mancini, Leslie Bricusse",False,Life In A Looking Glass,nan
Music,MUSIC (Original Song),MUSIC (Original Song),Little Shop of Horrors,Music by Alan Menken; Lyric by Howard Ashman,"Alan Menken, Howard Ashman",False,Mean Green Mother From Outer Space,nan
Music,MUSIC (Original Song),MUSIC (Original Song),An American Tail,Music by James Horner and Barry Mann; Lyric by Cynthia Weil,"James Horner, Barry Mann, Cynthia Weil",False,Somewhere Out There,nan
Music,MUSIC (Original Song),MUSIC (Original Song),Top Gun,Music by Giorgio Moroder; Lyric by Tom Whitlock,"Giorgio Moroder, Tom Whitlock",True,Take My Breath Away,nan
Title,BEST PICTURE,BEST PICTURE,Children of a Lesser God,"Burt Sugarman and Patrick Palmer, Producers","Burt Sugarman, Patrick Palmer",False,nan,nan
Title,BEST PICTURE,BEST PICTURE,Hannah and Her Sisters,"Robert Greenhut, Producer",Robert Greenhut,False,nan,nan
Title,BEST PICTURE,BEST PICTURE,The Mission,"Fernando Ghia and David Puttnam, Producers","Fernando Ghia, David Puttnam",False,nan,nan
Title,BEST PICTURE,BEST PICTURE,Platoon,"Arnold Kopelson, Producer",Arnold Kopelson,True,nan,nan
Title,BEST PICTURE,BEST PICTURE,A Room with a View,"Ismail Merchant, Producer",Ismail Merchant,False,nan,nan
Title,SHORT FILM (Animated),SHORT FILM (Animated),"The Frog, the Dog and the Devil","Bob Stenhouse, Producer",Bob Stenhouse,False,nan,nan
Title,SHORT FILM (Animated),SHORT FILM (Animated),A Greek Tragedy,"Linda Van Tulden and Willem Thijssen, Producers","Linda Van Tulden, Willem Thijssen",True,nan,nan
Title,SHORT FILM (Animated),SHORT FILM (Animated),Luxo Jr.,"John Lasseter and William Reeves, Producers","John Lasseter, William Reeves",False,nan,nan
Title,SHORT FILM (Live Action),SHORT FILM (Live Action),Exit,"Stefano Reali and Pino Quartullo, Producers","Stefano Reali, Pino Quartullo",False,nan,nan
Title,SHORT FILM (Live Action),SHORT FILM (Live Action),Love Struck,"Fredda Weiss, Producer",Fredda Weiss,False,nan,nan
Title,SHORT FILM (Live Action),SHORT FILM (Live Action),Precious Images,"Chuck Workman, Producer",Chuck Workman,True,nan,nan
Production,SOUND MIXING,SOUND,Aliens,"Graham V. Hartstone, Nicolas Le Messurier, Michael A. Carter, Roy Charman","Graham V. Hartstone, Nicolas Le Messurier, Michael A. Carter, Roy Charman",False,nan,nan
Production,SOUND MIXING,SOUND,Heartbreak Ridge,"Les Fresholtz, Dick Alexander, Vern Poore, William Nelson","Les Fresholtz, Dick Alexander, Vern Poore, William Nelson",False,nan,nan
Production,SOUND MIXING,SOUND,Platoon,"John K. Wilkinson, Richard Rogers, Charles 'Bud' Grenzbach, Simon Kaye","John K. Wilkinson, Richard Rogers, Charles 'Bud' Grenzbach, Simon Kaye",True,nan,nan
Production,SOUND MIXING,SOUND,Star Trek IV: The Voyage Home,"Terry Porter, Dave Hudson, Mel Metcalfe, Gene S. Cantamessa","Terry Porter, Dave Hudson, Mel Metcalfe, Gene S. Cantamessa",False,nan,nan
Production,SOUND MIXING,SOUND,Top Gun,"Donald O. Mitchell, Kevin O'Connell, Rick Kline, William B. Kaplan","Donald O. Mitchell, Kevin O'Connell, Rick Kline, William B. Kaplan",False,nan,nan
Production,SOUND EDITING,SOUND EFFECTS EDITING,Aliens,Don Sharpe,Don Sharpe,True,nan,nan
Production,SOUND EDITING,SOUND EFFECTS EDITING,Star Trek IV: The Voyage Home,Mark Mangini,Mark Mangini,False,nan,nan
Production,SOUND EDITING,SOUND EFFECTS EDITING,Top Gun,"Cecelia Hall, George Watters II","Cecelia Hall, George Watters II",False,nan,nan
Production,VISUAL EFFECTS,VISUAL EFFECTS,Aliens,"Robert Skotak, Stan Winston, John Richardson, Suzanne Benson","Robert Skotak, Stan Winston, John Richardson, Suzanne Benson",True,nan,nan
