actor,total_films,mean_rating,mean_gross,wins
Jesse Eisenberg,2,7.65,86276490.0,3
Olivia Williams,2,7.9,155305755.5,0
Jeremy Irons,2,8.05,261398138.0,2
Jennifer Lawrence,2,7.7,139250631.5,1
Jennifer Jason Leigh,2,7.75,27600065.5,1
Ulrich Thomsen,2,7.9,824542.5,0
Jennifer Aniston,2,7.85,16992113.0,0
Ulrich Tukur,2,8.1,6754379.5,1
Oscar Isaac,2,7.800000000000001,481052591.5,1
Jason Statham,2,8.25,17112862.5,0
Owen Wilson,2,7.85,94619735.5,1
Jason Schwartzman,2,7.800000000000001,19054069.0,0
Jason Robards,2,8.25,13888742.0,0
Paprika Steen,2,7.9,824542.5,0
Janet Leigh,2,8.25,17118829.5,0
Jamie Foxx,2,8.05,119068517.0,4
Patrick McGoohan,2,7.95,59300000.0,5
Patrick Stewart,2,8.0,230099301.0,0
Paul Giamatti,2,7.8,50759276.5,0
Jet Li,2,7.75,39171874.5,0
Jim Carrey,2,8.2,80009251.0,1
Julian Dennison,2,7.800000000000001,164897158.5,0
Jim Caviezel,2,7.699999999999999,45317276.5,0
Julia Roberts,2,7.85,157919979.5,0
Michael Stuhlbarg,2,7.9,59320920.0,2
Michelle Pfeiffer,2,8.0,42955417.0,0
Josh Hartnett,2,7.7,65566616.0,2
Mickey Rourke,2,7.95,50170211.5,0
Joseph Cotten,2,8.2,1017412.5,2
Jonah Hill,2,7.8999999999999995,96253093.0,0
Miles Teller,2,8.05,15716025.5,3
Morena Baccarin,2,7.85,343831222.0,0
Tom Wilkinson,2,7.95,38791538.5,2
Thandie Newton,2,7.85,109073379.5,3
Moritz Bleibtreu,2,7.65,3704328.5,0
Tommy Lee Jones,2,7.949999999999999,129079692.5,5
John Fiedler,2,8.35,24443617.0,0
John Cleese,2,8.149999999999999,10637156.0,0
Naomie Harris,2,7.65,174712596.0,2
John Candy,2,7.75,53380085.0,0
Joel Coen,2,7.85,122763315.0,5
Toni Collette,2,7.949999999999999,176698695.0,2
Ned Beatty,2,7.949999999999999,211030446.5,2
Nick Frost,2,7.85,18590069.5,0
Nick Nolte,2,7.8999999999999995,25028803.0,0
Joan Allen,2,7.85,201856505.5,3
Deborah Kerr,2,7.699999999999999,16558000.0,8
Aamir Khan,2,8.25,3301527.5,0
Charlize Theron,2,7.949999999999999,101040714.0,6
Ansel Elgort,2,7.65,116349106.0,0
Daryl Hannah,2,8.05,68153614.0,0
Darío Grandinetti,2,8.0,6195668.5,0
Ben Foster,2,7.65,40234683.0,0
Andy Serkis,2,7.699999999999999,255774578.5,0
Ciarán Hinds,2,8.05,23989822.0,2
Brie Larson,2,8.05,7844044.0,1
Dave Bautista,2,7.8,240933630.0,2
Cybill Shepherd,2,8.15,28697787.0,2
Carl Weathers,2,7.949999999999999,88485397.5,3
Audrey Tautou,2,7.95,19696658.0,0
Casey Affleck,2,7.699999999999999,33997669.0,2
Catherine Deneuve,2,8.0,4314896.0,0
Audrey Hepburn,2,7.85,42737294.0,9
Cuba Gooding Jr.,2,7.75,102991040.0,2
Benedict Cumberbatch,2,7.85,159952172.0,1
Benjamin Bratt,2,8.2,107111299.0,2
Burt Reynolds,2,7.800000000000001,16728326.5,0
Chris Sarandon,2,8.0,52970241.0,0
Bryce Dallas Howard,2,7.8,102361152.0,1
Andie MacDowell,2,7.85,38508976.0,0
Daniel Brühl,2,7.9,15505912.0,0
Ana de Armas,2,7.95,128706955.0,2
Christopher Eccleston,2,7.6,70793801.0,0
Amy Ryan,2,7.65,54026778.0,1
Christian Slater,2,7.800000000000001,9717493.5,0
Amy Poehler,2,7.85,187832227.0,1
Alan Arkin,2,7.7,73375365.5,3
Alan Tudyk,2,7.8,278845920.5,0
Andrew Garfield,2,7.9,82086154.5,5
Barbara Hershey,2,7.75,40493817.0,3
Albert Finney,2,7.85,35668705.5,0
Cameron Diaz,2,7.75,145261968.5,1
